Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
4, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -2.8999978828409985, -4.1799991035452875, -36.75283761004577, -78.33189948325875, 9.28749830302562, 0.3, 0.5
5, -2.8999978828409985, -2.879997863767494, -78.32261234347452, -4.1799991035452875, -2.879997863767494, -36.74355047026154, -78.32261114971148, 9.849790875463727, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.1835342631666785, -36.48138959761498, -78.33233140552746, 6.020457199710586, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035330424623895, -36.48138959761498, -78.33232463212923, 9.079375890617577, 0.6, 0.8
8, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.8793533319028204, -38.25911008836033, -78.31242093939181, 9.458474318019878, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.903718589514341, -4.183710044584317, -36.46785184166598, -78.33207296735064, 10.789400728796407, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -3.2000079345778794, -76.64776868675095, -2.879997863767494, -3.2050079393462556, -76.58801802235986, -76.64776868675095, 0.005945116042790742, 0.01, 0.1
1, -2.905007653243688, -2.9200076675488162, -78.32757525182795, -2.905007653243688, -2.9300076770855688, -78.3200670087332, -78.32757525182795, 0.000747018435410286, 0.05, 0.2
2, -2.903513511193763, -2.905007653243688, -78.33229383187691, -2.583513206017691, -2.905007653243688, -76.74648968836134, -78.33229383187691, 0.15778373347338717, 0.1, 0.3
3, -2.879997863767494, -2.5599975585914216, -76.51060193823695, -4.159999084471783, -2.5599975585914216, -36.45691225010205, -76.51060193823695, 8.908666814095893, 0.2, 0.4
4, -2.879997863767494, -2.8999978828409985, -78.32261234347453, -2.879997863767494, -4.1799991035452875, -36.74355047026154, -78.32261234347453, 7.107647454396621, 0.3, 0.5
5, -2.9035330424623895, -2.902497885225187, -78.33231284994822, -2.9035330424623895, -4.182499105929476, -36.56105268988571, -78.33231284994822, 9.626953439758877, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035721049996424, -36.48138957256088, -78.33233140157853, 9.472672958019057, 0.5, 0.7
7, -2.9037576520515938, -2.9035330424623895, -78.33233054274943, -4.183758872755883, -2.9035330424623895, -36.46409161839637, -78.33232859880765, 7.107076265331511, 0.6, 0.8
8, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.183573325703931, -2.879997863767494, -36.46887847408541, -78.32257124374621, 11.87628340247301, 0.7, 0.9
9, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.183211997234342, -2.8799880981331807, -36.49668963552661, -78.32060871353121, 10.886694166797085, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -2.9200076675488162, -78.31810971828912, -2.879997863767494, -2.9300076770855688, -78.31060147519439, -78.31810971828912, 0.0007470607554002166, 0.01, 0.1
1, -2.905007653243688, -2.879997863767494, -78.32279073722911, -2.905007653243688, -2.869997854230742, -78.31306488371379, -78.32279073722911, 0.0009685467642958708, 0.05, 0.2
2, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.879997863767494, -38.25963551555538, -78.31332520369028, 4.627072324435961, 0.1, 0.3
3, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -4.1799991035452875, -2.8999978828409985, -36.75283761004577, -78.33189948325875, 5.820277041495277, 0.2, 0.4
4, -2.879997863767494, -2.9037576520515938, -78.32282744083994, -2.879997863767494, -4.183758872755883, -36.45458851648687, -78.32282744083994, 8.539957720409106, 0.3, 0.5
5, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.1835342631666785, -36.48138959761498, -78.33233140750926, 8.52643459617173, 0.4, 0.6
6, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -2.9035330424623895, -4.183758872755883, -36.46409161839636, -78.33232997941056, 9.487094041925399, 0.5, 0.7
7, -2.8999978828409985, -2.879997863767494, -78.32261234347452, -4.1799991035452875, -2.879997863767494, -36.74355047026154, -78.32219854691813, 12.17013536386817, 0.6, 0.8
8, -2.8999978828409985, -2.9035330424623895, -78.332115445384, -2.8999978828409985, -4.1835342631666785, -36.481173635489725, -78.33203241967081, 7.39765527803029, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.183524497532366, -2.9135232863648284, -36.48041034821736, -78.3322068856379, 9.500489810082897, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.879997863767494, -2.879997863767494, -78.31332520369028, -78.31332520369028, 1.4210854715202004e-14, 0.01, 0.1
1, -2.879997863767494, -2.905007653243688, -78.32279073722911, -2.879997863767494, 2.214997229573469, -60.8334096826792, -78.32279073722911, 1.7403368097214922, 0.05, 0.2
2, -2.903435386119257, -2.8999978828409985, -78.33211527715676, 2.2165694966978995, -2.8999978828409985, -60.86029817373041, -78.33211527715676, 1.7496317029514188, 0.1, 0.3
3, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -2.8999978828409985, -3.539998493193143, -69.7482950385264, -78.33189948325875, 0.8935568741895987, 0.2, 0.4
4, -2.9037576520515938, -2.905007653243688, -78.33229297437877, -2.9037576520515938, -4.185008873947977, -36.367741676510164, -78.33229297437877, 5.8500793860049045, 0.3, 0.5
5, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -2.9035330424623895, -0.3199954223589154, -40.78008824229104, -78.32282830559977, 5.142754483867858, 0.4, 0.6
6, -2.879997863767494, -2.9035330424623895, -78.32282830559978, -2.879997863767494, -4.183553794435305, -36.4703825018733, -78.32282788874498, 7.277036523774069, 0.5, 0.7
7, -2.8999978828409985, -2.9035330424623895, -78.332115445384, -2.8999978828409985, -4.1835342631666785, -36.481173635489725, -78.33211224498547, 8.86632897046387, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.183622153875498, -2.8835525546575114, -36.46776380241123, -78.33177639284881, 12.82509667123483, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -0.34364778866557, -2.9035330424623895, -40.96306252354373, -78.33221226131761, 5.9592912170893895, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.879997863767494, -2.839997825620485, -78.25450629601097, -78.31332520369028, 0.005922222795805952, 0.01, 0.1
1, -2.9036014019025824, -2.879997863767494, -78.32282822712381, -3.543602012254727, -2.879997863767494, -69.63201806258152, -78.32282822712381, 1.2167101090063623, 0.05, 0.2
2, -2.879997863767494, -2.9037576520515938, -78.32282744083994, -3.519998474119639, -2.9037576520515938, -70.32840210677094, -78.32282744083994, 0.8093189931575356, 0.1, 0.3
3, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.879997863767494, -38.25963551555538, -78.31332520369028, 7.797075692885872, 0.2, 0.4
4, -2.9035330424623895, -2.8999978828409985, -78.332115445384, -4.1835342631666785, -2.8999978828409985, -36.481173635489725, -78.332115445384, 10.158566499484536, 0.3, 0.5
5, -2.903513511193763, -2.879997863767494, -78.32282829833808, -2.903513511193763, -4.159999084471783, -38.26913861020318, -78.32282829833808, 9.242985149587168, 0.4, 0.6
6, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -2.8999978828409985, -4.1799991035452875, -36.75283761004577, -78.33189229767635, 6.085767670550676, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.903728355148654, -0.34345247597930584, -40.96151583274512, -78.33232970841055, 6.868864352643533, 0.6, 0.8
8, -2.9035330424623895, -2.8999978828409985, -78.332115445384, -4.183710044584317, -2.8999978828409985, -36.46763646856245, -78.33197994538115, 9.751266220136067, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.193534272703431, -2.90347444865651, -35.70689441852107, -78.3322039267655, 9.54303117740464, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.905007653243688, -2.839997825620485, -78.26397182954982, -2.5850073480676157, -2.839997825620485, -76.6921466499979, -78.26397182954982, 0.156394630698202, 0.01, 0.1
1, -2.879997863767494, -2.9037576520515938, -78.32282744083994, -3.519998474119639, -2.9037576520515938, -70.32840210677094, -78.32282744083994, 0.7953564824799227, 0.05, 0.2
2, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.879997863767494, -38.25963551555538, -78.31332520369028, 4.6266907673281485, 0.1, 0.3
3, -2.9037576520515938, -2.902497885225187, -78.33231198518838, -2.9037576520515938, -4.182499105929476, -36.56105182512589, -78.33231198518838, 4.5601448092695955, 0.2, 0.4
4, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.1835342631666785, -2.879841613618482, -36.47176040714947, -78.32282830559977, 7.290428470822792, 0.3, 0.5
5, -2.8999978828409985, -2.8999978828409985, -78.33189948325875, -2.8999978828409985, -4.1799991035452875, -36.75283761004577, -78.33189948325875, 4.136174022270986, 0.4, 0.6
6, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.879997863767494, -38.25963551555538, -78.31326226245088, 9.536439027443523, 0.5, 0.7
7, -2.879997863767494, -2.9035330424623895, -78.32282830559978, -2.879997863767494, -4.188553799203682, -36.084242027016245, -78.32281650688586, 9.188832309656052, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.183592856972558, -36.47687751425087, -78.33226614501686, 12.90024620379513, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.183602622606871, -2.9035330424623895, -36.47612547064519, -78.3305933853614, 10.151698200976993, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.5599975585914216, -2.9200076675488162, -76.5153864528358, -2.5599975585914216, -2.9200076675488162, -76.5153864528358, -76.5153864528358, 1.4210854715202004e-14, 0.01, 0.1
1, -2.879997863767494, -2.8999978828409985, -78.32261234347453, -2.869997854230742, -2.8999978828409985, -78.3128864899592, -78.32261234347453, 0.0009721060683281356, 0.05, 0.2
2, -2.905007653243688, -2.879997863767494, -78.32279073722911, -2.905007653243688, -4.159999084471783, -38.26910104909421, -78.32279073722911, 5.4346420667656306, 0.1, 0.3
3, -2.879997863767494, -2.8999978828409985, -78.32261234347453, -2.879997863767494, -4.1799991035452875, -36.74355047026154, -78.32261234347453, 5.979785839132365, 0.2, 0.4
4, -2.879997863767494, -2.8999978828409985, -78.32261234347453, -2.879997863767494, -4.1799991035452875, -36.74355047026154, -78.32261234347453, 7.250754713335669, 0.3, 0.5
5, -2.9037576520515938, -2.9037576520515938, -78.33232967798959, -2.9037576520515938, -4.183758872755883, -36.46409075363653, -78.33232960080802, 4.862657033799528, 0.4, 0.6
6, -2.8999978828409985, -2.9035330424623895, -78.332115445384, -0.339975910163794, -2.9035330424623895, -40.934094648550314, -78.33211537875768, 7.574822459019838, 0.5, 0.7
7, -2.9035330424623895, -2.8999978828409985, -78.332115445384, -4.1835342631666785, -2.8999978828409985, -36.481173635489725, -78.33210250643617, 11.20821078018345, 0.6, 0.8
8, -2.8999978828409985, -2.9035330424623895, -78.332115445384, -2.899978351572372, -4.192831147032878, -35.761424800731035, -78.33201593059695, 10.948168946335649, 0.7, 0.9
9, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -4.183651450778438, -2.879997863767494, -36.462862023368984, -78.32161775964828, 11.02687679097281, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.8999978828409985, -2.879997863767494, -78.32261234347452, -2.9399979209880076, -2.879997863767494, -78.29955479198411, -78.32261234347452, 0.00229419740633973, 0.01, 0.1
1, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.879997863767494, -0.3199954223589154, -40.770585140381556, -78.31332520369028, 5.255981579041153, 0.05, 0.2
2, -2.879997863767494, -2.8999978828409985, -78.32261234347453, -2.879997863767494, -4.1799991035452875, -36.74355047026154, -78.32261234347453, 4.215479327088333, 0.1, 0.3
3, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -2.9035330424623895, -0.3199954223589154, -40.78008824229104, -78.32282830559977, 4.30761438701561, 0.2, 0.4
4, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.1835342631666785, -36.48138959761498, -78.33233140750926, 10.01536023481006, 0.3, 0.5
5, -2.9035330424623895, -2.905007653243688, -78.3322938391386, -2.9035330424623895, -4.185008873947977, -36.36774254126999, -78.3322938391386, 8.61586710495299, 0.4, 0.6
6, -2.879997863767494, -2.9035330424623895, -78.32282830559978, -2.879997863767494, -4.184706139284267, -36.38158675133557, -78.3228282228153, 10.269653545126614, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.1835342631666785, -36.48138959761498, -78.33233093491481, 10.880138185434825, 0.6, 0.8
8, -2.879997863767494, -2.9035330424623895, -78.32282830559978, -0.3199954223589154, -2.904548668430966, -40.78007043468666, -78.32205864874945, 9.285002856664178, 0.7, 0.9
9, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9049783563407483, -4.183485434995113, -36.48511334455873, -78.33224331545068, 11.60989265762854, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.9200076675488162, -2.9035330424623895, -78.32761282019862, -2.9200076675488162, 2.2164718403547674, -60.85470326637591, -78.32761282019862, 1.7388762162339089, 0.01, 0.1
1, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.877497861383306, -2.879997863767494, -78.31120895145074, -78.31332520369028, 0.00021055608023206278, 0.05, 0.2
2, -2.879997863767494, -2.879997863767494, -78.31332520369028, -4.159999084471783, -2.879997863767494, -38.25963551555538, -78.31332520369028, 4.383521053274664, 0.1, 0.3
3, -2.905007653243688, -2.903513511193763, -78.33229383187691, -4.185008873947977, -2.903513511193763, -36.3677425340083, -78.33229383187691, 6.0745448813640435, 0.2, 0.4
4, -2.9037576520515938, -2.9037576520515938, -78.33232967798959, -4.183758872755883, -2.90377718332022, -36.464090595974525, -78.33232967798959, 7.31342141447131, 0.3, 0.5
5, -2.9035330424623895, -2.905007653243688, -78.3322938391386, -2.9035330424623895, -4.185008873947977, -36.36774254126999, -78.33229382562065, 7.2968437920498435, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035330424623895, -36.48138959761498, -78.33233138245517, 9.584072545241018, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -2.9035330424623895, -4.183690513315691, -36.46935669617616, -78.33232970841055, 9.671734054844643, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.184491295329376, -2.9035916362682688, -36.40765390363993, -78.33230416507081, 12.789172569235467, 0.7, 0.9
9, -2.9035330424623895, -2.879997863767494, -78.32282830559977, -2.903288901604559, -4.159999084471783, -38.269137578573854, -78.32194950675952, 11.70055621747286, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.897478349188184, -2.9037576520515938, -78.33169772978138, -2.897322099039172, -2.9037576520515938, -78.33166468745719, -78.33166468745719, 6.474946734596795e-06, 0.01, 0.1
1, -2.9036014019025824, -2.879997863767494, -78.32282822712381, -4.183602622606871, -2.879997863767494, -36.4666223687357, -78.32282822712381, 4.164638009123713, 0.05, 0.2
2, -2.879997863767494, -2.903435386119257, -78.32282813737251, -3.519998474119639, -2.903435386119257, -70.32840280330352, -78.32282813737251, 0.7966698171078254, 0.1, 0.3
3, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -2.9035330424623895, -4.183758872755883, -36.46409161839636, -78.33233054274942, 4.49765242761114, 0.2, 0.4
4, -2.8999978828409985, -2.9037576520515938, -78.33211458062416, -0.33999544143242044, -2.9037576520515938, -40.93424732246713, -78.33211458062416, 5.541830201872478, 0.3, 0.5
5, -2.9035330424623895, -2.9037576520515938, -78.33233054274942, -2.9035330424623895, -0.34375521064301573, -40.96391309297194, -78.33233054274942, 5.159019303980842, 0.4, 0.6
6, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9435330806093982, -36.45335155473045, -78.33233134088293, 9.262575995294485, 0.5, 0.7
7, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9035330424623895, -36.48138959761498, -78.33233099065447, 7.759787723875705, 0.6, 0.8
8, -2.9035330424623895, -2.9035330424623895, -78.33233140750926, -4.1835342631666785, -2.9034939799251367, -36.481389569899456, -78.33189939464106, 10.646373225126482, 0.7, 0.9
9, -2.9035330424623895, -2.8999978828409985, -78.332115445384, -4.183465903726486, -2.899919757766493, -36.48642770438674, -78.33195236123802, 10.365907521301505, 0.8, 1.0
Prueba, Mejor X, Mejor Y, Mejor solucion, Peor X, Peor Y, Peor Solucion, Mediana, Desviacion estandar, Probabilidad de mutacion, Probabilidad de cruce
0, -2.879997863767494, -2.879997863767494, -78.31332520369028, -2.879997863767494, -2.879841613618482, -78.31319911513425, -78.31332520369028, 1.2545652921267755e-05, 0.01, 0.1
1, -2.905007653243688, -2.9035428080967027, -78.33229383782232, -2.905007653243688, -2.5835425029206305, -76.74676356553832, -78.33229383782232, 0.1577582273895282, 0.05, 0.2
